#---------------------------------------------------------
# Best fthr for global dispersion optimisation for ASIC332.
# Rows: #Channels
# Columns: Peaking time
#---------------------------------------------------------
7	6	4	3	3	2	2	1	
0	0	0	0	0	0	0	0	
5	5	5	5	5	5	5	5	
0	0	0	0	0	0	0	0	
5	5	5	5	5	5	6	5	
0	0	0	0	0	0	0	0	
6	6	6	6	6	6	6	6	
2	2	2	2	2	2	2	2	
3	3	3	3	3	3	4	4	
2	2	2	2	2	2	2	3	
2	2	2	2	2	3	3	3	
0	0	0	0	0	0	0	0	
4	4	4	4	4	4	5	5	
7	7	7	7	7	7	7	7	
0	0	0	0	0	0	0	0	
5	5	5	5	5	5	6	6	
0	0	0	0	0	0	0	0	
1	1	1	1	1	1	1	1	
0	0	0	0	0	0	0	0	
4	4	4	4	4	4	4	4	
0	0	0	0	0	0	0	0	
7	7	7	7	7	7	7	7	
3	3	3	3	3	3	3	3	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
6	6	6	6	6	6	6	6	
3	3	3	2	2	3	3	3	
3	3	3	3	3	3	3	3	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
