#---------------------------------------------------------
# Best fthr for global dispersion optimisation for ASIC463.
# Rows: #Channels
# Columns: Peaking time
#---------------------------------------------------------
7	7	7	5	4	4	4	3	
7	7	7	7	7	7	7	7	
0	0	0	0	0	0	0	0	
2	2	2	2	2	2	2	2	
0	0	0	0	0	0	0	0	
7	7	7	7	7	7	7	7	
0	0	0	0	0	0	0	0	
3	3	3	3	3	3	3	3	
4	4	4	4	4	4	4	5	
3	3	3	3	4	4	4	4	
7	7	7	7	7	7	7	7	
0	0	0	0	0	0	0	0	
2	2	3	3	4	4	4	4	
0	0	0	0	0	0	0	0	
1	1	2	1	2	2	2	2	
0	0	0	0	0	0	0	1	
1	1	1	1	1	1	1	1	
3	3	3	3	3	3	3	3	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
7	7	7	7	7	7	7	7	
6	6	6	6	6	6	6	6	
7	7	7	7	7	7	7	7	
5	5	5	5	5	5	5	5	
0	0	0	0	0	0	0	0	
7	7	7	7	7	7	7	7	
6	6	6	6	6	6	6	6	
2	2	1	1	2	2	1	2	
3	3	3	3	3	3	3	3	
0	0	0	0	0	0	0	0	
2	2	2	2	2	2	2	2	
2	2	2	2	2	2	2	2	
